Record{date=1518-03-08T23:46, eventType=SHIFT_BEGINS, guardId=2591}
Record{date=1518-03-22T00:57, eventType=FALL_ASLEEP, guardId=0}
Record{date=1518-03-22T00:59, eventType=WAKE_UP, guardId=0}
Record{date=1518-03-22T23:58, eventType=SHIFT_BEGINS, guardId=761}
Record{date=1518-03-23T00:10, eventType=FALL_ASLEEP, guardId=0}
Record{date=1518-03-23T00:32, eventType=WAKE_UP, guardId=0}
Record{date=1518-03-23T00:44, eventType=FALL_ASLEEP, guardId=0}
Record{date=1518-03-23T00:48, eventType=WAKE_UP, guardId=0}
Record{date=1518-03-23T00:51, eventType=FALL_ASLEEP, guardId=0}
Record{date=1518-03-23T00:54, eventType=WAKE_UP, guardId=0}
Record{date=1518-03-24T00:04, eventType=SHIFT_BEGINS, guardId=3329}
Record{date=1518-03-24T00:39, eventType=FALL_ASLEEP, guardId=0}
Record{date=1518-03-24T00:50, eventType=WAKE_UP, guardId=0}
Record{date=1518-03-25T00:01, eventType=SHIFT_BEGINS, guardId=761}
Record{date=1518-03-25T00:17, eventType=FALL_ASLEEP, guardId=0}
Record{date=1518-03-25T00:24, eventType=WAKE_UP, guardId=0}
Record{date=1518-03-25T00:30, eventType=FALL_ASLEEP, guardId=0}
Record{date=1518-03-25T00:45, eventType=WAKE_UP, guardId=0}
Record{date=1518-03-25T00:49, eventType=FALL_ASLEEP, guardId=0}
Record{date=1518-03-25T00:58, eventType=WAKE_UP, guardId=0}
Record{date=1518-03-25T23:57, eventType=SHIFT_BEGINS, guardId=3329}
Record{date=1518-03-26T00:07, eventType=FALL_ASLEEP, guardId=0}
Record{date=1518-03-26T00:47, eventType=WAKE_UP, guardId=0}
Record{date=1518-03-26T00:51, eventType=FALL_ASLEEP, guardId=0}
Record{date=1518-03-26T00:57, eventType=WAKE_UP, guardId=0}
Record{date=1518-03-27T00:02, eventType=SHIFT_BEGINS, guardId=2789}
Record{date=1518-03-27T00:39, eventType=FALL_ASLEEP, guardId=0}
Record{date=1518-03-27T00:59, eventType=WAKE_UP, guardId=0}
Record{date=1518-03-28T00:00, eventType=SHIFT_BEGINS, guardId=2003}
Record{date=1518-03-28T00:23, eventType=FALL_ASLEEP, guardId=0}
Record{date=1518-03-28T00:52, eventType=WAKE_UP, guardId=0}
Record{date=1518-03-29T00:00, eventType=SHIFT_BEGINS, guardId=1861}
Record{date=1518-03-29T00:06, eventType=FALL_ASLEEP, guardId=0}
Record{date=1518-03-29T00:58, eventType=WAKE_UP, guardId=0}
Record{date=1518-03-29T23:59, eventType=SHIFT_BEGINS, guardId=3529}
Record{date=1518-03-30T00:28, eventType=FALL_ASLEEP, guardId=0}
Record{date=1518-03-30T00:42, eventType=WAKE_UP, guardId=0}
Record{date=1518-03-31T00:03, eventType=SHIFT_BEGINS, guardId=1889}
Record{date=1518-03-31T00:07, eventType=FALL_ASLEEP, guardId=0}
Record{date=1518-03-31T00:42, eventType=WAKE_UP, guardId=0}
Record{date=1518-03-31T00:45, eventType=FALL_ASLEEP, guardId=0}
Record{date=1518-03-31T00:59, eventType=WAKE_UP, guardId=0}
Record{date=1518-04-01T00:00, eventType=SHIFT_BEGINS, guardId=3529}
Record{date=1518-04-01T00:50, eventType=FALL_ASLEEP, guardId=0}
Record{date=1518-04-01T00:58, eventType=WAKE_UP, guardId=0}
Record{date=1518-04-01T23:49, eventType=SHIFT_BEGINS, guardId=467}
Record{date=1518-04-02T00:00, eventType=FALL_ASLEEP, guardId=0}
Record{date=1518-04-02T00:21, eventType=WAKE_UP, guardId=0}
Record{date=1518-04-02T00:26, eventType=FALL_ASLEEP, guardId=0}
Record{date=1518-04-02T00:52, eventType=WAKE_UP, guardId=0}
Record{date=1518-04-02T23:59, eventType=SHIFT_BEGINS, guardId=233}
Record{date=1518-04-03T00:12, eventType=FALL_ASLEEP, guardId=0}
Record{date=1518-04-03T00:32, eventType=WAKE_UP, guardId=0}
Record{date=1518-04-03T23:59, eventType=SHIFT_BEGINS, guardId=1783}
Record{date=1518-04-04T00:36, eventType=FALL_ASLEEP, guardId=0}
Record{date=1518-04-04T00:47, eventType=WAKE_UP, guardId=0}
Record{date=1518-04-04T00:52, eventType=FALL_ASLEEP, guardId=0}
Record{date=1518-04-04T00:53, eventType=WAKE_UP, guardId=0}
Record{date=1518-04-05T00:04, eventType=SHIFT_BEGINS, guardId=761}
Record{date=1518-04-05T00:12, eventType=FALL_ASLEEP, guardId=0}
Record{date=1518-04-05T00:34, eventType=WAKE_UP, guardId=0}
Record{date=1518-04-05T00:57, eventType=FALL_ASLEEP, guardId=0}
Record{date=1518-04-05T00:59, eventType=WAKE_UP, guardId=0}
Record{date=1518-04-06T00:00, eventType=SHIFT_BEGINS, guardId=2281}
Record{date=1518-04-07T00:04, eventType=SHIFT_BEGINS, guardId=1297}
Record{date=1518-04-07T00:06, eventType=FALL_ASLEEP, guardId=0}
Record{date=1518-04-07T00:52, eventType=WAKE_UP, guardId=0}
Record{date=1518-04-08T00:00, eventType=SHIFT_BEGINS, guardId=2591}
Record{date=1518-04-08T00:15, eventType=FALL_ASLEEP, guardId=0}
Record{date=1518-04-08T00:20, eventType=WAKE_UP, guardId=0}
Record{date=1518-04-08T00:23, eventType=FALL_ASLEEP, guardId=0}
Record{date=1518-04-08T00:39, eventType=WAKE_UP, guardId=0}
Record{date=1518-04-08T00:42, eventType=FALL_ASLEEP, guardId=0}
Record{date=1518-04-08T00:43, eventType=WAKE_UP, guardId=0}
Record{date=1518-04-08T23:56, eventType=SHIFT_BEGINS, guardId=743}
Record{date=1518-04-09T00:28, eventType=FALL_ASLEEP, guardId=0}
Record{date=1518-04-09T00:33, eventType=WAKE_UP, guardId=0}
Record{date=1518-04-09T00:37, eventType=FALL_ASLEEP, guardId=0}
Record{date=1518-04-09T00:44, eventType=WAKE_UP, guardId=0}
Record{date=1518-04-09T00:48, eventType=FALL_ASLEEP, guardId=0}
Record{date=1518-04-09T00:49, eventType=WAKE_UP, guardId=0}
Record{date=1518-04-10T00:04, eventType=SHIFT_BEGINS, guardId=2309}
Record{date=1518-04-10T00:32, eventType=FALL_ASLEEP, guardId=0}
Record{date=1518-04-10T00:56, eventType=WAKE_UP, guardId=0}
Record{date=1518-04-10T23:56, eventType=SHIFT_BEGINS, guardId=2281}
Record{date=1518-04-12T00:02, eventType=SHIFT_BEGINS, guardId=1931}
Record{date=1518-04-12T00:20, eventType=FALL_ASLEEP, guardId=0}
Record{date=1518-04-12T00:38, eventType=WAKE_UP, guardId=0}
Record{date=1518-04-12T00:46, eventType=FALL_ASLEEP, guardId=0}
Record{date=1518-04-12T00:51, eventType=WAKE_UP, guardId=0}
Record{date=1518-04-12T23:56, eventType=SHIFT_BEGINS, guardId=2963}
Record{date=1518-04-14T00:02, eventType=SHIFT_BEGINS, guardId=2281}
Record{date=1518-04-15T00:01, eventType=SHIFT_BEGINS, guardId=233}
Record{date=1518-04-15T00:25, eventType=FALL_ASLEEP, guardId=0}
Record{date=1518-04-15T00:51, eventType=WAKE_UP, guardId=0}
Record{date=1518-04-15T00:54, eventType=FALL_ASLEEP, guardId=0}
Record{date=1518-04-15T00:58, eventType=WAKE_UP, guardId=0}
Record{date=1518-04-15T23:59, eventType=SHIFT_BEGINS, guardId=1783}
Record{date=1518-04-16T00:30, eventType=FALL_ASLEEP, guardId=0}
Record{date=1518-04-16T00:45, eventType=WAKE_UP, guardId=0}
Record{date=1518-04-16T23:57, eventType=SHIFT_BEGINS, guardId=3329}
Record{date=1518-04-17T00:21, eventType=FALL_ASLEEP, guardId=0}
Record{date=1518-04-17T00:51, eventType=WAKE_UP, guardId=0}
Record{date=1518-04-17T23:59, eventType=SHIFT_BEGINS, guardId=3541}
Record{date=1518-04-18T00:19, eventType=FALL_ASLEEP, guardId=0}
Record{date=1518-04-18T00:22, eventType=WAKE_UP, guardId=0}
Record{date=1518-04-18T00:31, eventType=FALL_ASLEEP, guardId=0}
Record{date=1518-04-18T00:45, eventType=WAKE_UP, guardId=0}
Record{date=1518-04-19T00:04, eventType=SHIFT_BEGINS, guardId=2591}
Record{date=1518-04-19T00:09, eventType=FALL_ASLEEP, guardId=0}
Record{date=1518-04-19T00:18, eventType=WAKE_UP, guardId=0}
Record{date=1518-04-20T00:03, eventType=SHIFT_BEGINS, guardId=947}
Record{date=1518-04-20T00:07, eventType=FALL_ASLEEP, guardId=0}
Record{date=1518-04-20T00:09, eventType=WAKE_UP, guardId=0}
Record{date=1518-04-20T00:13, eventType=FALL_ASLEEP, guardId=0}
Record{date=1518-04-20T00:38, eventType=WAKE_UP, guardId=0}
Record{date=1518-04-21T00:01, eventType=SHIFT_BEGINS, guardId=1861}
Record{date=1518-04-21T00:35, eventType=FALL_ASLEEP, guardId=0}
Record{date=1518-04-21T00:50, eventType=WAKE_UP, guardId=0}
Record{date=1518-04-21T23:52, eventType=SHIFT_BEGINS, guardId=743}
Record{date=1518-04-22T00:05, eventType=FALL_ASLEEP, guardId=0}
Record{date=1518-04-22T00:41, eventType=WAKE_UP, guardId=0}
Record{date=1518-04-22T23:57, eventType=SHIFT_BEGINS, guardId=2003}
Record{date=1518-04-23T00:31, eventType=FALL_ASLEEP, guardId=0}
Record{date=1518-04-23T00:53, eventType=WAKE_UP, guardId=0}
Record{date=1518-04-24T00:04, eventType=SHIFT_BEGINS, guardId=761}
Record{date=1518-04-24T00:22, eventType=FALL_ASLEEP, guardId=0}
Record{date=1518-04-24T00:57, eventType=WAKE_UP, guardId=0}
Record{date=1518-04-24T23:50, eventType=SHIFT_BEGINS, guardId=3541}
Record{date=1518-04-25T00:05, eventType=FALL_ASLEEP, guardId=0}
Record{date=1518-04-25T00:36, eventType=WAKE_UP, guardId=0}
Record{date=1518-04-25T00:50, eventType=FALL_ASLEEP, guardId=0}
Record{date=1518-04-25T00:52, eventType=WAKE_UP, guardId=0}
Record{date=1518-04-26T00:04, eventType=SHIFT_BEGINS, guardId=1229}
Record{date=1518-04-26T00:47, eventType=FALL_ASLEEP, guardId=0}
Record{date=1518-04-26T00:53, eventType=WAKE_UP, guardId=0}
Record{date=1518-04-27T00:00, eventType=SHIFT_BEGINS, guardId=2591}
Record{date=1518-04-27T00:18, eventType=FALL_ASLEEP, guardId=0}
Record{date=1518-04-27T00:53, eventType=WAKE_UP, guardId=0}
Record{date=1518-04-28T00:00, eventType=SHIFT_BEGINS, guardId=1861}
Record{date=1518-04-28T00:31, eventType=FALL_ASLEEP, guardId=0}
Record{date=1518-04-28T00:56, eventType=WAKE_UP, guardId=0}
Record{date=1518-04-29T00:04, eventType=SHIFT_BEGINS, guardId=1931}
Record{date=1518-04-29T00:20, eventType=FALL_ASLEEP, guardId=0}
Record{date=1518-04-29T00:35, eventType=WAKE_UP, guardId=0}
Record{date=1518-04-30T00:04, eventType=SHIFT_BEGINS, guardId=2309}
Record{date=1518-04-30T00:18, eventType=FALL_ASLEEP, guardId=0}
Record{date=1518-04-30T00:55, eventType=WAKE_UP, guardId=0}
Record{date=1518-04-30T23:59, eventType=SHIFT_BEGINS, guardId=2141}
Record{date=1518-05-01T00:20, eventType=FALL_ASLEEP, guardId=0}
Record{date=1518-05-01T00:40, eventType=WAKE_UP, guardId=0}
Record{date=1518-05-01T00:44, eventType=FALL_ASLEEP, guardId=0}
Record{date=1518-05-01T00:57, eventType=WAKE_UP, guardId=0}
Record{date=1518-05-01T23:56, eventType=SHIFT_BEGINS, guardId=3541}
Record{date=1518-05-02T00:50, eventType=FALL_ASLEEP, guardId=0}
Record{date=1518-05-02T00:51, eventType=WAKE_UP, guardId=0}
Record{date=1518-05-03T00:02, eventType=SHIFT_BEGINS, guardId=1783}
Record{date=1518-05-03T00:50, eventType=FALL_ASLEEP, guardId=0}
Record{date=1518-05-03T00:54, eventType=WAKE_UP, guardId=0}
Record{date=1518-05-03T00:57, eventType=FALL_ASLEEP, guardId=0}
Record{date=1518-05-03T00:58, eventType=WAKE_UP, guardId=0}
Record{date=1518-05-04T00:00, eventType=SHIFT_BEGINS, guardId=443}
Record{date=1518-05-04T00:27, eventType=FALL_ASLEEP, guardId=0}
Record{date=1518-05-04T00:54, eventType=WAKE_UP, guardId=0}
Record{date=1518-05-05T00:04, eventType=SHIFT_BEGINS, guardId=1889}
Record{date=1518-05-05T00:20, eventType=FALL_ASLEEP, guardId=0}
Record{date=1518-05-05T00:26, eventType=WAKE_UP, guardId=0}
Record{date=1518-05-05T00:31, eventType=FALL_ASLEEP, guardId=0}
Record{date=1518-05-05T00:48, eventType=WAKE_UP, guardId=0}
Record{date=1518-05-05T23:59, eventType=SHIFT_BEGINS, guardId=1861}
Record{date=1518-05-06T00:14, eventType=FALL_ASLEEP, guardId=0}
Record{date=1518-05-06T00:37, eventType=WAKE_UP, guardId=0}
Record{date=1518-05-06T00:40, eventType=FALL_ASLEEP, guardId=0}
Record{date=1518-05-06T00:51, eventType=WAKE_UP, guardId=0}
Record{date=1518-05-07T00:00, eventType=SHIFT_BEGINS, guardId=1297}
Record{date=1518-05-07T00:15, eventType=FALL_ASLEEP, guardId=0}
Record{date=1518-05-07T00:22, eventType=WAKE_UP, guardId=0}
Record{date=1518-05-07T00:39, eventType=FALL_ASLEEP, guardId=0}
Record{date=1518-05-07T00:56, eventType=WAKE_UP, guardId=0}
Record{date=1518-05-08T00:01, eventType=SHIFT_BEGINS, guardId=3329}
Record{date=1518-05-08T00:47, eventType=FALL_ASLEEP, guardId=0}
Record{date=1518-05-08T00:48, eventType=WAKE_UP, guardId=0}
Record{date=1518-05-09T00:01, eventType=SHIFT_BEGINS, guardId=743}
Record{date=1518-05-09T00:29, eventType=FALL_ASLEEP, guardId=0}
Record{date=1518-05-09T00:34, eventType=WAKE_UP, guardId=0}
Record{date=1518-05-09T00:37, eventType=FALL_ASLEEP, guardId=0}
Record{date=1518-05-09T00:54, eventType=WAKE_UP, guardId=0}
Record{date=1518-05-09T23:56, eventType=SHIFT_BEGINS, guardId=2309}
Record{date=1518-05-10T00:10, eventType=FALL_ASLEEP, guardId=0}
Record{date=1518-05-10T00:18, eventType=WAKE_UP, guardId=0}
Record{date=1518-05-10T00:39, eventType=FALL_ASLEEP, guardId=0}
Record{date=1518-05-10T00:59, eventType=WAKE_UP, guardId=0}
Record{date=1518-05-11T00:02, eventType=SHIFT_BEGINS, guardId=947}
Record{date=1518-05-11T00:31, eventType=FALL_ASLEEP, guardId=0}
Record{date=1518-05-11T00:32, eventType=WAKE_UP, guardId=0}
Record{date=1518-05-11T00:35, eventType=FALL_ASLEEP, guardId=0}
Record{date=1518-05-11T00:36, eventType=WAKE_UP, guardId=0}
Record{date=1518-05-11T00:41, eventType=FALL_ASLEEP, guardId=0}
Record{date=1518-05-11T00:54, eventType=WAKE_UP, guardId=0}
Record{date=1518-05-11T23:57, eventType=SHIFT_BEGINS, guardId=2003}
Record{date=1518-05-12T00:42, eventType=FALL_ASLEEP, guardId=0}
Record{date=1518-05-12T00:59, eventType=WAKE_UP, guardId=0}
Record{date=1518-05-13T00:01, eventType=SHIFT_BEGINS, guardId=233}
Record{date=1518-05-13T00:21, eventType=FALL_ASLEEP, guardId=0}
Record{date=1518-05-13T00:40, eventType=WAKE_UP, guardId=0}
Record{date=1518-05-14T00:00, eventType=SHIFT_BEGINS, guardId=1861}
Record{date=1518-05-14T00:37, eventType=FALL_ASLEEP, guardId=0}
Record{date=1518-05-14T00:44, eventType=WAKE_UP, guardId=0}
Record{date=1518-05-14T00:51, eventType=FALL_ASLEEP, guardId=0}
Record{date=1518-05-14T00:55, eventType=WAKE_UP, guardId=0}
Record{date=1518-05-14T23:56, eventType=SHIFT_BEGINS, guardId=1297}
Record{date=1518-05-15T00:46, eventType=FALL_ASLEEP, guardId=0}
Record{date=1518-05-15T00:58, eventType=WAKE_UP, guardId=0}
Record{date=1518-05-15T23:57, eventType=SHIFT_BEGINS, guardId=761}
Record{date=1518-05-16T00:19, eventType=FALL_ASLEEP, guardId=0}
Record{date=1518-05-16T00:21, eventType=WAKE_UP, guardId=0}
Record{date=1518-05-16T00:52, eventType=FALL_ASLEEP, guardId=0}
Record{date=1518-05-16T00:59, eventType=WAKE_UP, guardId=0}
Record{date=1518-05-17T00:02, eventType=SHIFT_BEGINS, guardId=1297}
Record{date=1518-05-17T00:45, eventType=FALL_ASLEEP, guardId=0}
Record{date=1518-05-17T00:50, eventType=WAKE_UP, guardId=0}
Record{date=1518-05-18T00:00, eventType=SHIFT_BEGINS, guardId=761}
Record{date=1518-05-18T00:49, eventType=FALL_ASLEEP, guardId=0}
Record{date=1518-05-18T00:59, eventType=WAKE_UP, guardId=0}
Record{date=1518-05-18T23:58, eventType=SHIFT_BEGINS, guardId=743}
Record{date=1518-05-19T00:18, eventType=FALL_ASLEEP, guardId=0}
Record{date=1518-05-19T00:53, eventType=WAKE_UP, guardId=0}
Record{date=1518-05-20T00:00, eventType=SHIFT_BEGINS, guardId=467}
Record{date=1518-05-20T00:33, eventType=FALL_ASLEEP, guardId=0}
Record{date=1518-05-20T00:46, eventType=WAKE_UP, guardId=0}
Record{date=1518-05-21T00:00, eventType=SHIFT_BEGINS, guardId=233}
Record{date=1518-05-21T00:37, eventType=FALL_ASLEEP, guardId=0}
Record{date=1518-05-21T00:39, eventType=WAKE_UP, guardId=0}
Record{date=1518-05-21T00:45, eventType=FALL_ASLEEP, guardId=0}
Record{date=1518-05-21T00:49, eventType=WAKE_UP, guardId=0}
Record{date=1518-05-22T00:01, eventType=SHIFT_BEGINS, guardId=443}
Record{date=1518-05-22T00:12, eventType=FALL_ASLEEP, guardId=0}
Record{date=1518-05-22T00:16, eventType=WAKE_UP, guardId=0}
Record{date=1518-05-22T00:23, eventType=FALL_ASLEEP, guardId=0}
Record{date=1518-05-22T00:32, eventType=WAKE_UP, guardId=0}
Record{date=1518-05-22T00:55, eventType=FALL_ASLEEP, guardId=0}
Record{date=1518-05-22T00:56, eventType=WAKE_UP, guardId=0}
Record{date=1518-05-23T00:03, eventType=SHIFT_BEGINS, guardId=3529}
Record{date=1518-05-23T00:21, eventType=FALL_ASLEEP, guardId=0}
Record{date=1518-05-23T00:36, eventType=WAKE_UP, guardId=0}
Record{date=1518-05-23T23:58, eventType=SHIFT_BEGINS, guardId=2309}
Record{date=1518-05-24T00:15, eventType=FALL_ASLEEP, guardId=0}
Record{date=1518-05-24T00:36, eventType=WAKE_UP, guardId=0}
Record{date=1518-05-24T00:50, eventType=FALL_ASLEEP, guardId=0}
Record{date=1518-05-24T00:59, eventType=WAKE_UP, guardId=0}
Record{date=1518-05-25T00:03, eventType=SHIFT_BEGINS, guardId=233}
Record{date=1518-05-25T00:29, eventType=FALL_ASLEEP, guardId=0}
Record{date=1518-05-25T00:50, eventType=WAKE_UP, guardId=0}
Record{date=1518-05-25T23:58, eventType=SHIFT_BEGINS, guardId=2141}
Record{date=1518-05-26T00:10, eventType=FALL_ASLEEP, guardId=0}
Record{date=1518-05-26T00:22, eventType=WAKE_UP, guardId=0}
Record{date=1518-05-26T00:45, eventType=FALL_ASLEEP, guardId=0}
Record{date=1518-05-26T00:48, eventType=WAKE_UP, guardId=0}
Record{date=1518-05-26T23:58, eventType=SHIFT_BEGINS, guardId=761}
Record{date=1518-05-27T00:25, eventType=FALL_ASLEEP, guardId=0}
Record{date=1518-05-27T00:50, eventType=WAKE_UP, guardId=0}
Record{date=1518-05-28T00:01, eventType=SHIFT_BEGINS, guardId=2281}
Record{date=1518-05-28T23:56, eventType=SHIFT_BEGINS, guardId=467}
Record{date=1518-05-29T00:39, eventType=FALL_ASLEEP, guardId=0}
Record{date=1518-05-29T00:56, eventType=WAKE_UP, guardId=0}
Record{date=1518-05-29T23:57, eventType=SHIFT_BEGINS, guardId=1229}
Record{date=1518-05-30T00:22, eventType=FALL_ASLEEP, guardId=0}
Record{date=1518-05-30T00:54, eventType=WAKE_UP, guardId=0}
Record{date=1518-05-30T23:50, eventType=SHIFT_BEGINS, guardId=761}
Record{date=1518-05-31T00:05, eventType=FALL_ASLEEP, guardId=0}
Record{date=1518-05-31T00:47, eventType=WAKE_UP, guardId=0}
Record{date=1518-05-31T00:57, eventType=FALL_ASLEEP, guardId=0}
Record{date=1518-05-31T00:58, eventType=WAKE_UP, guardId=0}
Record{date=1518-06-01T00:00, eventType=SHIFT_BEGINS, guardId=443}
Record{date=1518-06-01T00:24, eventType=FALL_ASLEEP, guardId=0}
Record{date=1518-06-01T00:33, eventType=WAKE_UP, guardId=0}
Record{date=1518-06-01T00:54, eventType=FALL_ASLEEP, guardId=0}
Record{date=1518-06-01T00:58, eventType=WAKE_UP, guardId=0}
Record{date=1518-06-01T23:46, eventType=SHIFT_BEGINS, guardId=947}
Record{date=1518-06-02T00:05, eventType=FALL_ASLEEP, guardId=0}
Record{date=1518-06-02T00:13, eventType=WAKE_UP, guardId=0}
Record{date=1518-06-02T23:46, eventType=SHIFT_BEGINS, guardId=2789}
Record{date=1518-06-03T00:00, eventType=FALL_ASLEEP, guardId=0}
Record{date=1518-06-03T00:12, eventType=WAKE_UP, guardId=0}
Record{date=1518-06-03T00:25, eventType=FALL_ASLEEP, guardId=0}
Record{date=1518-06-03T00:44, eventType=WAKE_UP, guardId=0}
Record{date=1518-06-03T00:52, eventType=FALL_ASLEEP, guardId=0}
Record{date=1518-06-03T00:54, eventType=WAKE_UP, guardId=0}
Record{date=1518-06-03T23:47, eventType=SHIFT_BEGINS, guardId=443}
Record{date=1518-06-04T00:01, eventType=FALL_ASLEEP, guardId=0}
Record{date=1518-06-04T00:32, eventType=WAKE_UP, guardId=0}
Record{date=1518-06-05T00:00, eventType=SHIFT_BEGINS, guardId=743}
Record{date=1518-06-05T00:12, eventType=FALL_ASLEEP, guardId=0}
Record{date=1518-06-05T00:33, eventType=WAKE_UP, guardId=0}
Record{date=1518-06-06T00:02, eventType=SHIFT_BEGINS, guardId=467}
Record{date=1518-06-06T00:35, eventType=FALL_ASLEEP, guardId=0}
Record{date=1518-06-06T00:46, eventType=WAKE_UP, guardId=0}
Record{date=1518-06-06T23:57, eventType=SHIFT_BEGINS, guardId=2141}
Record{date=1518-06-07T00:18, eventType=FALL_ASLEEP, guardId=0}
Record{date=1518-06-07T00:30, eventType=WAKE_UP, guardId=0}
Record{date=1518-06-07T00:35, eventType=FALL_ASLEEP, guardId=0}
Record{date=1518-06-07T00:48, eventType=WAKE_UP, guardId=0}
Record{date=1518-06-07T00:54, eventType=FALL_ASLEEP, guardId=0}
Record{date=1518-06-07T00:58, eventType=WAKE_UP, guardId=0}
Record{date=1518-06-07T23:57, eventType=SHIFT_BEGINS, guardId=947}
Record{date=1518-06-08T00:17, eventType=FALL_ASLEEP, guardId=0}
Record{date=1518-06-08T00:45, eventType=WAKE_UP, guardId=0}
Record{date=1518-06-09T00:04, eventType=SHIFT_BEGINS, guardId=1297}
Record{date=1518-06-09T00:18, eventType=FALL_ASLEEP, guardId=0}
Record{date=1518-06-09T00:20, eventType=WAKE_UP, guardId=0}
Record{date=1518-06-09T23:57, eventType=SHIFT_BEGINS, guardId=467}
Record{date=1518-06-10T00:19, eventType=FALL_ASLEEP, guardId=0}
Record{date=1518-06-10T00:21, eventType=WAKE_UP, guardId=0}
Record{date=1518-06-11T00:02, eventType=SHIFT_BEGINS, guardId=1861}
Record{date=1518-06-11T00:20, eventType=FALL_ASLEEP, guardId=0}
Record{date=1518-06-11T00:37, eventType=WAKE_UP, guardId=0}
Record{date=1518-06-11T00:44, eventType=FALL_ASLEEP, guardId=0}
Record{date=1518-06-11T00:53, eventType=WAKE_UP, guardId=0}
Record{date=1518-06-11T23:59, eventType=SHIFT_BEGINS, guardId=443}
Record{date=1518-06-12T00:29, eventType=FALL_ASLEEP, guardId=0}
Record{date=1518-06-12T00:32, eventType=WAKE_UP, guardId=0}
Record{date=1518-06-12T00:35, eventType=FALL_ASLEEP, guardId=0}
Record{date=1518-06-12T00:41, eventType=WAKE_UP, guardId=0}
Record{date=1518-06-12T23:57, eventType=SHIFT_BEGINS, guardId=947}
Record{date=1518-06-13T00:09, eventType=FALL_ASLEEP, guardId=0}
Record{date=1518-06-13T00:29, eventType=WAKE_UP, guardId=0}
Record{date=1518-06-14T00:03, eventType=SHIFT_BEGINS, guardId=443}
Record{date=1518-06-14T00:30, eventType=FALL_ASLEEP, guardId=0}
Record{date=1518-06-14T00:49, eventType=WAKE_UP, guardId=0}
Record{date=1518-06-15T00:01, eventType=SHIFT_BEGINS, guardId=3529}
